LocationId,count,LON,LAT,NOM_SITE
255,4,2.3073509999999997,48.870349,COLISEE
256,27,2.307403,48.826984,PORTE_BRANCION
257,27,2.307398,48.835244,RUE_SAINT_AMAND
258,2,2.307429,48.828790999999995,PORTE_DE_VANVES_METRO_L13
259,4,2.307415,48.876487,OSM_HILTON_COURCELLES_INDOOR
260,4,2.3074689999999998,48.877332,LISBONNE_HAUSSMAN
261,27,2.307748,48.841561999999996,PASTEUR_EU
262,6,2.307728,48.877539,HAUSSMAN_BIS
263,3,2.3078529999999997,48.850082,SEGUR_EU
264,3,2.307866,48.874106,ST_HONORE_BERRI
265,3,2.3078990000000004,48.865127,OSM_LVMH_BAYARD_INDOOR
266,2,2.3080060000000002,48.86697,OSM_RTL_PARIS_INDOOR
267,24,2.3080060000000002,48.86714,CLEMENT_MAROT
268,15,2.308084,48.850783,OSM_SEGUR_PARIS_INDOOR
269,27,2.308072,48.870816,PONTHIEU
270,1,2.308138,48.850676,MINISTERE_TELECOM_INDOOR
271,10,2.3081959999999997,48.893644,OSM_DRPJ_BATIGNOLLES_PARIS17
272,23,2.308322,48.83794,DUTOT
273,4,2.308303,48.871895,LA_BOETIE
274,27,2.308436,48.85463,INVALIDES
275,17,2.308527,48.886534999999995,"MALESHERBES_TOCQUEVILLE_PROV, MALESHERBES_TOCQUEVILLE"
276,2,2.308646,48.867563,OSM_COMPAGNIES_MONTAIGNE_INDOOR
277,4,2.308718,48.861523999999996,OSM_CASINO_UNIVERSITE
278,3,2.308825,48.865424,FRANCOIS_PREMIER
279,2,2.308924,48.883039000000004,MALESHERBES_METRO_L3
280,27,2.308959,48.868947,FRANKLIN_ROOSEVELT_METRO_L1
281,4,2.308955,48.876937,MONCEAU_MURAT
282,18,2.309174,48.849175,VILLA_DE_SAXE
283,2,2.3091779999999997,48.866646,MAISON_DES_CENTRALIENS
284,8,2.309254,48.876811,OSM_CAPITAL_8_MESSINE_MURAT
285,27,2.309381,48.844933000000005,RUE_DE_STAEL
286,2,2.3093939999999997,48.871257,LAGARDERE_ACTIVE_INDOOR
287,2,2.309389,48.880388,MONCEAU_METRO_L2
288,18,2.309673,48.857713000000004,LA_TOUR_MAUBOURG
289,32,2.3097060000000003,48.873477,ST_PHILIPPE_DU_ROULE
