,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
252402,0102f8106206dbbb,3G,25094,56251,598334,2431024,2.313805,48.877522,2019/03/15,2019/06/22,PLACE_DE_NARVICK
252405,0102f81062076368,3G,25095,25448,601647,2424574,2.358922,48.819553000000006,2019/03/15,2019/06/22,SQUARE_BAJAC
252408,0102f8106207c47d,3G,25095,50301,600517,2424723,2.343543,48.820894,2019/03/15,2019/06/22,CITE_UNIVERSITAIRE
252577,0102f81075041908,3G,29956,6408,600190,2427360,2.339093,48.844595,2019/03/15,2019/06/22,SENAT_INDOOR
252578,0102f81075044354,3G,29956,17236,599946,2425465,2.335771,48.827563,2019/03/15,2019/06/22,AVENUE_REILLE
252579,0102f81075049b7f,3G,29956,39807,598714,2426210,2.318998,48.834258,2019/03/15,2019/06/22,PERNETY
252580,0102f8107504a4a7,3G,29956,42151,599782,2426205,2.333538,48.834214,2019/03/15,2019/06/22,DENFERT_ST_JACQUES
252581,0102f8107504a5c2,3G,29956,42434,600120,2425800,2.33814,48.830574,2019/03/15,2019/06/22,HOPITAL_STE_ANNE
252582,0102f8107504e276,3G,29956,57974,600496,2427630,2.34326,48.847021000000005,2019/03/15,2019/06/22,MAIRIE_DU_5_EME
252583,0102f8107504f247,3G,29956,62023,597930,2426620,2.308322,48.83794,2019/03/15,2019/06/22,DUTOT
252584,0102f81096fec62b,3G,38654,50731,597661,2430700,2.304637,48.874608,2019/03/15,2019/06/22,MM_CONNECTING_TECHNOLOGY_EVENT
253189,8102f810016ded0d,4G,1,23981325,598845,2430203,2.32077,48.870145,2019/03/15,2019/06/22,OSMSLA_MADELEINE_RF
253193,8102f810016e3b06,4G,1,24001286,594730,2427108,2.264748,48.842308,2019/03/15,2019/06/22,BOILEAU_EU
253194,8102f810016e4d07,4G,1,24005895,597569,2425699,2.303413,48.829661,2019/03/15,2019/06/22,SQUARE_CASTAGNARY
253195,8102f810016e9108,4G,1,24023304,600457,2428150,2.3427290000000003,48.851695,2019/03/15,2019/06/22,CLUNY_LA_SORBONNE
253196,8102f810016e9f03,4G,1,24026883,596670,2428135,2.291155,48.851551,2019/03/15,2019/06/22,DUPLEIX
253197,8102f810016eb304,4G,1,24032004,603202,2427191,2.380106,48.843068,2019/03/15,2019/06/22,GARE_DE_LYON
253198,8102f810016eb309,4G,1,24032009,603202,2427191,2.380106,48.843068,2019/03/15,2019/06/22,GARE_DE_LYON
253199,8102f810016ebe07,4G,1,24034823,599425,2432762,2.328668,48.893144,2019/03/15,2019/06/22,GUY_MOQUET_EU
253200,8102f810016ec001,4G,1,24035329,595774,2426429,2.27897,48.836213,2019/03/15,2019/06/22,HELIPORT
253202,8102f810016edf08,4G,1,24043272,598030,2428820,2.309673,48.857713000000004,2019/03/15,2019/06/22,LA_TOUR_MAUBOURG
253205,8102f810016f040a,4G,1,24052746,597723,2430187,2.305484,48.869997999999995,2019/03/15,2019/06/22,MONTAIGNE
253206,8102f810016f1c07,4G,1,24058887,601616,2426617,2.358508,48.837915,2019/03/15,2019/06/22,PARIS_VI_CHU
253207,8102f810016f5602,4G,1,24073730,595630,2428614,2.276987,48.85585,2019/03/15,2019/06/22,RAYNOUARD_BRUNEAU
253208,8102f810016f9901,4G,1,24090881,604483,2430827,2.3975869999999997,48.875739,2019/03/15,2019/06/22,TELEGRAPHE
253209,8102f810016fd607,4G,1,24106503,598926,2433033,2.321866,48.895579,2019/03/15,2019/06/22,PORTE_DE_ST_OUEN
253238,8102f8100171f408,4G,1,24245256,602488,2428126,2.370389,48.851473999999996,2019/03/15,2019/06/22,BASTILLE_BIS
253239,8102f81001720606,4G,1,24249862,600370,2427136,2.341544,48.842581,2019/03/15,2019/06/22,RUE_DES_FEUILLANTINES
253252,8102f8100173f007,4G,1,24375303,598738,2427074,2.319322,48.842023,2019/03/15,2019/06/22,GARE_MONTPARNASSE_TER
253255,8102f8100174710b,4G,1,24408331,598946,2425330,2.322159,48.826349,2019/03/15,2019/06/22,SQUARE_CHATILLON
253256,8102f81001747f05,4G,1,24411909,597502,2430482,2.3024720000000003,48.872648,2019/03/15,2019/06/22,CHATEAUBRIAND
253257,8102f81001748e01,4G,1,24415745,599659,2427880,2.331862,48.849268,2019/03/15,2019/06/22,SENAT_BONAPARTE
253267,8102f81001753c08,4G,1,24460296,596886,2430774,2.294077,48.87527,2019/03/15,2019/06/22,CDG_ETOILE_RER_A
253268,8102f81001754406,4G,1,24462342,603103,2425782,2.378748,48.830405,2019/03/15,2019/06/22,KAFKA
